sample_id,treatment,block,fungi_abundance,bacteria_abundance,fungi_bacteria_ratio,pH,organic_carbon,nitrogen,carbon_nitrogen_ratio,ancient_grass_cover,modern_grass_cover,total_grass_cover,litter_cover
A1N20,E3,A,4170000,4210000,0.99,4.59,1.504,0.119,12.63865546,27.5,55,82.5,30
A1N40,E3,A,8440000,5390000,1.57,4.64,2.245,0.183,12.26775956,30,55,85,45
A1N60,E3,A,4130000,3390000,1.22,4.57,1.34,0.1,13.4,32.5,75,107.5,20
A1S20,E3,A,8310000,4810000,1.73,4.73,1.354,0.103,13.14563107,15,40,55,60
A1S40,E3,A,5340000,4270000,1.25,4.8,1.507,0.114,13.21929825,22.5,87.5,110,20
A1S60,E3,A,2.3e+07,9030000,2.55,4.83,1.989,0.151,13.17218543,35,57.5,92.5,30
A2N20,L2,A,7150000,6490000,1.1,4.95,0.975,0.066,14.77272727,20,105,125,10
A2N40,L2,A,8540000,5610000,1.52,4.76,1.171,0.074,15.82432432,0,160,160,0
A2N60,L2,A,7950000,8040000,0.99,4.7,1.678,0.126,13.31746032,2.5,135,137.5,10
A2S20,L2,A,4140000,3440000,1.2,4.54,0.416,0.029,14.34482759,0,140,140,5
A2S40,L2,A,8240000,4670000,1.76,4.58,1.128,0.698,1.616045845,0,105,105,15
A2S60,L2,A,6280000,3800000,1.65,4.52,0.962,0.207,4.647342995,20,75,95,35
A3N20,E1,A,34400000,11400000,3.02,4.77,0.674,0.087,7.747126437,0,77.5,77.5,10
A3N40,E1,A,9970000,12500000,0.8,4.72,0.873,0.088,9.920454545,0,80,80,10
A3N60,E1,A,19400000,10700000,1.81,4.67,0.603,0.061,9.885245902,0,35,35,40
A3S20,E1,A,5280000,4400000,1.2,4.74,0.843,0.076,11.09210526,2.5,135,137.5,7.5
A3S40,E1,A,7010000,5960000,1.18,4.38,1.184,0.079,14.98734177,10,72.5,82.5,20
A3S60,E1,A,2920000,3220000,0.91,4.6,0.28,0.034,8.235294118,17.5,62.5,80,5
A4N40,E5,A,4410000,3050000,1.45,4.64,0.74,0.066,11.21212121,55,15,70,55
A4S40,E5,A,11200000,8360000,1.34,4.77,0.741,0.067,11.05970149,35,5,40,85
A5N20,E2,A,2470000,4720000,0.52,4.86,1.416,0.108,13.11111111,42.5,47.5,90,20
A5N40,E2,A,4810000,5460000,0.88,4.88,1.625,0.11,14.77272727,37.5,62.5,100,10
A5N60,E2,A,7360000,7130000,1.03,5.12,1.627,0.113,14.39823009,10,90,100,0
A5S20,E2,A,12400000,7580000,1.64,4.74,2.439,0.151,16.15231788,40,72.5,112.5,15
A5S40,E2,A,6020000,6580000,0.91,4.77,1.513,0.11,13.75454545,55,70,125,15
A5S60,E2,A,9180000,9460000,0.97,4.54,2.143,0.166,12.90963855,60,72.5,132.5,10
A6N40,U,A,8350000,9510000,0.88,4.78,1.416,0.105,13.48571429,17.5,40,57.5,30
A6S40,U,A,8310000,5780000,1.44,4.63,2.168,0.17,12.75294118,32.5,35,67.5,50
B1N20,E5,B,6010000,11600000,0.52,5.07,1.193,0.112,10.65178571,125,25,150,25
B1N40,E5,B,4290000,6700000,0.64,5.13,1.232,0.089,13.84269663,60,52.5,112.5,40
B1N60,E5,B,3180000,6520000,0.49,4.74,1.634,0.119,13.73109244,60,60,120,25
B1S20,E5,B,3260000,4740000,0.69,4.77,0.752,0.068,11.05882353,80,17.5,97.5,35
B1S40,E5,B,6240000,11200000,0.56,4.84,1.918,0.097,19.77319588,75,22.5,97.5,35
B1S60,E5,B,5290000,8790000,0.6,4.71,2.122,0.115,18.45217391,45,7.5,52.5,60
B2N20,E1,B,2330000,4550000,0.51,4.84,1.052,0.059,17.83050847,10,70,80,0
B2N40,E1,B,4220000,4530000,0.93,4.83,1.373,0.084,16.3452381,10,120,130,15
B2N60,E1,B,7750000,9660000,0.8,4.78,2.724,0.148,18.40540541,20,70,90,30
B2S20,E1,B,2480000,6030000,0.41,4.58,1.8,0.076,23.68421053,60,70,130,10
B2S40,E1,B,2610000,3930000,0.66,4.94,1.104,0.065,16.98461538,17.5,135,152.5,10
B2S60,E1,B,4530000,5230000,0.87,4.8,1.237,0.078,15.85897436,10,107.5,117.5,25
B3N20,L2,B,3220000,6810000,0.47,4.79,1.536,0.082,18.73170732,47.5,65,112.5,30
B3N40,L2,B,4940000,7700000,0.64,4.65,2.271,0.137,16.57664234,12.5,80,92.5,30
B3N60,L2,B,2740000,5590000,0.49,4.9,1.036,0.065,15.93846154,20,77.5,97.5,50
B3S20,L2,B,2100000,4310000,0.49,4.95,1.032,0.062,16.64516129,30,27.5,57.5,25
B3S40,L2,B,4190000,6530000,0.64,4.97,1.594,0.085,18.75294118,10,42.5,52.5,40
B3S60,L2,B,11600000,13400000,0.86,5.04,2.278,0.111,20.52252252,12.5,62.5,75,20
B4N20,E3,B,4230000,6020000,0.7,4.82,1.184,0.076,15.57894737,20,55,75,30
B4N40,E3,B,1890000,3870000,0.49,4.7,0.805,0.051,15.78431373,27.5,52.5,80,25
B4N60,E3,B,2540000,3320000,0.77,4.56,0.82,0.047,17.44680851,35,47.5,82.5,20
